number,title,url,domain,source,query,country,search_date,listing_urls,has_listings
2,Parco nazionale e riserva di Wrangell-St. Elias,https://antropocene.it/2021/10/23/parco-nazionale-e-riserva-di-wrangell-st-elias/,antropocene.it,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://antropocene.it/2021/10/23/parco-nazionale-e-riserva-di-wrangell-st-elias/,True
3,Trade With Vikas by Vikas Ola - appadvice.com,https://appadvice.com/app/trade-with-vikas/6608975480,appadvice.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://appadvice.com/app/trade-with-vikas/6608975480,True
1,Zimbabwe Business Directory 2025 | AFRIKTA,https://afrikta.com/listing-locations/zimbabwe/,afrikta.com,web_search,yellow pages zimbabwe,Zimbabwe,2/12/2025,https://afrikta.com/listing-locations/zimbabwe/,True
6,Download Google Chrome - Free - latest version,https://chrome.en.softonic.com/download,chrome.en.softonic.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://chrome.en.softonic.com/download,True
5,Google Chrome for Google Chrome - Download,https://chrome.en.softonic.com/,chrome.en.softonic.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://chrome.en.softonic.com/,True
4,‎Trade With Vikas on the App Store,https://apps.apple.com/in/app/trade-with-vikas/id6608975480,apps.apple.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://apps.apple.com/in/app/trade-with-vikas/id6608975480,True
7,Home - Trade With Vikas - Classplus,https://classplusapp.com/w/tradewithvikas,classplusapp.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
8,Ranked N° 1 GEM Alpine Business School in France among the 5 …,https://eduniversal-ranking.com/gem-alpine-business-school-ranking.html,eduniversal-ranking.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://eduniversal-ranking.com/gem-alpine-business-school-ranking.html,True
10,company is/are - WordReference Forums,https://forum.wordreference.com/threads/company-is-are.2961868/,forum.wordreference.com,web_search,company directories in zimbabwe,Zimbabwe,2/12/2025,https://forum.wordreference.com/threads/company-is-are.2961868/,True
9,Zimbabwe - Wikipedia,https://en.wikipedia.org/wiki/Zimbabwe,en.wikipedia.org,web_search,zimbabwe business listings,Zimbabwe,2/12/2025,https://en.wikipedia.org/wiki/Zimbabwe,True
11,In/at the company - WordReference Forums,https://forum.wordreference.com/threads/in-at-the-company.215026/,forum.wordreference.com,web_search,company directories in zimbabwe,Zimbabwe,2/12/2025,https://forum.wordreference.com/threads/in-at-the-company.215026/,True
13,"""Who is *Company Name*"" or ""Who are ""Company Name""",https://forum.wordreference.com/threads/who-is-company-name-or-who-are-company-name.3469707/,forum.wordreference.com,web_search,company directories in zimbabwe,Zimbabwe,2/12/2025,https://forum.wordreference.com/threads/who-is-company-name-or-who-are-company-name.3469707/,True
12,M/S followed by a Company Name? - WordReference Forums,https://forum.wordreference.com/threads/m-s-followed-by-a-company-name.1606232/,forum.wordreference.com,web_search,company directories in zimbabwe,Zimbabwe,2/12/2025,https://forum.wordreference.com/threads/m-s-followed-by-a-company-name.1606232/,True
14,"Download Google Chrome (free) for Windows, macOS, Android ... - Gizmodo",https://gizmodo.com/download/google-chrome,gizmodo.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://gizmodo.com/download/google-chrome,True
17,Cosa c’è di così speciale nel Wrangell-St. Elias - ISNCA,https://isnca.org/it/cosa-cè-di-così-speciale-nel-wrangell-st-elias/,isnca.org,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://isnca.org/it/cosa-cè-di-così-speciale-nel-wrangell-st-elias/,True
16,Google Chrome for Windows - Download it from Uptodown for free,https://google-chrome.en.uptodown.com/windows,google-chrome.en.uptodown.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://google-chrome.en.uptodown.com/windows,True
15,Google Chrome - Download,https://google-chrome.en.lo4d.com/windows,google-chrome.en.lo4d.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://google-chrome.en.lo4d.com/windows,True
18,Parco nazionale di Wrangell-S. Elias e riserva - it.knowledgr.com,https://it.knowledgr.com/10726474/WrangellParcoNazionaleDiSEliasERiserva,it.knowledgr.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://it.knowledgr.com/10726474/WrangellParcoNazionaleDiSEliasERiserva,True
19,Parco nazionale e riserva di Wrangell-St. Elias - Wikipedia,https://it.wikipedia.org/wiki/Parco_nazionale_e_riserva_di_Wrangell-St._Elias,it.wikipedia.org,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://it.wikipedia.org/wiki/Parco_nazionale_e_riserva_di_Wrangell-St._Elias,True
22,"Zimbabwe News – Latest News Headlines Today, Breaking …",https://news.co.zw/,news.co.zw,web_search,zimbabwe business listings,Zimbabwe,2/12/2025,https://news.co.zw/,True
20,Trade with vikas - Linktree,https://linktr.ee/tradewithvikas,linktr.ee,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
23,Zimbabwe Map | Detailed Maps of Zimbabwe,https://ontheworldmap.com/zimbabwe/,ontheworldmap.com,web_search,zimbabwe business listings,Zimbabwe,2/12/2025,https://ontheworldmap.com/zimbabwe/,True
21,GEM Alpine Business School - MBAGRADSCHOOLS,https://mbagradschools.com/school/gem-alpine-business-school,mbagradschools.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://mbagradschools.com/school/gem-alpine-business-school,True
24,"Lago Willow e Monte Blackburn, Parco Nazionale e Riserva di Wrangell-St …",https://peapix.com/bing/54147,peapix.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
25,IPhone 13 Pro Max Graphite: A Deep Dive - pellebranden.com,https://pellebranden.com/blog/iphone-13-pro-max-graphite,pellebranden.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
26,Trade With Vikas - Apps on Google Play,https://play.google.com/store/apps/details?id=co.ted.jytfr&hl=en-US,play.google.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://play.google.com/store/apps/details?id=co.ted.jytfr&hl=en-US,True
27,Download and install Google Chrome - Computer - Google Chrome …,https://support.google.com/chrome/answer/95346?hl=en&co=GENIE.Platform=Desktop,support.google.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
29,iPhone 13 Pro Max - Graphite - Used and Refurbished - Swappa,https://swappa.com/listings/apple-iphone-13-pro-max?color=graphite,swappa.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
28,yellowpages.co.zw - Zimbabwe Yellow Pages & White ... - Yellow Pages,https://sur.ly/i/yellowpages.co.zw/,sur.ly,web_search,yellow pages zimbabwe,Zimbabwe,2/12/2025,https://sur.ly/i/yellowpages.co.zw/,True
30,"Zimbabwe Business Directory | Companies, Services & Products",https://thedirectory.co.zw/,thedirectory.co.zw,web_search,yellow pages zimbabwe,Zimbabwe,2/12/2025,https://thedirectory.co.zw/,True
32,The Zimbabwe Mail | Zimbabwe's biggest daily news,https://thezimbabwemail.com/,thezimbabwemail.com,web_search,zimbabwe business listings,Zimbabwe,2/12/2025,https://thezimbabwemail.com/,True
