name,address,city,phone,email,website,description,source_url,country,crawl_timestamp
basic,,,,,,,https://www.zimbabweyp.com/signup-business/basic,Zimbabwe,2025-12-03T17:58:44.209577
RSC Steelforce,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1489,Zimbabwe,2025-12-03T18:35:53.349541
Baker Tilly,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1187,Zimbabwe,2025-12-03T18:35:53.352545
Nicolas Scale Company Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1348,Zimbabwe,2025-12-03T18:35:53.355294
Wheatstar (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=7496,Zimbabwe,2025-12-03T18:35:53.358164
Adidas Zimbabwe,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=3769,Zimbabwe,2025-12-03T18:35:53.360896
Cut Rag Processors Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1807,Zimbabwe,2025-12-03T18:35:53.365806
ZNSPCA,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=5996,Zimbabwe,2025-12-03T18:35:53.369152
Masca Medical Aid Society of Central Africa,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=10697,Zimbabwe,2025-12-03T18:35:57.207122
SMC Drilling (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=9207,Zimbabwe,2025-12-03T18:35:57.207802
Velnox Branding,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=18309,Zimbabwe,2025-12-03T18:35:57.209722
Dr(Dr) Farayi Shakespeare Moyana (PhD),,,,,,,https://thedirectory.co.zw/company.cfm?companyid=6371,Zimbabwe,2025-12-03T18:35:57.210362
KJ Investments (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=53,Zimbabwe,2025-12-03T18:35:57.211327
Kingson Engineering (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=2830,Zimbabwe,2025-12-03T18:36:04.689659
Bronte The Garden Hotel,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=534,Zimbabwe,2025-12-03T18:36:04.690353
Vortex Drilling,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=5884,Zimbabwe,2025-12-03T18:36:04.692386
The Sunglass Boutique,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=18230,Zimbabwe,2025-12-03T18:36:04.693052
Wise Jet Cranes,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=14094,Zimbabwe,2025-12-03T18:36:04.694391
Rossi Tyre,,,,,https://thedirectory.co.zw/company.cfm?companyid=10712,Tyres For Every Car,https://thedirectory.co.zw/company.cfm?companyid=10712,Zimbabwe,2025-12-03T18:36:14.605865
Motor Torque,,,,,https://thedirectory.co.zw/company.cfm?companyid=477,"Tyres, Shock Absorbers, Mag Wheels, Wheel Lock Nuts and Bolts",https://thedirectory.co.zw/company.cfm?companyid=477,Zimbabwe,2025-12-03T18:36:15.825850
TYREZIM,,,,,https://thedirectory.co.zw/company.cfm?companyid=5457,"Leaders in distribution & sales of passenger, truck, agricultural, mining and industrial tyres, tubes & rims under the Triangle, Alliance, Nexen, Zowin and Terraking brand names. Experts in tyres.",https://thedirectory.co.zw/company.cfm?companyid=5457,Zimbabwe,2025-12-03T18:36:17.891798
Amcotts,,,,,https://thedirectory.co.zw/company.cfm?companyid=3458,Tyers - Equipment - Parts,https://thedirectory.co.zw/company.cfm?companyid=3458,Zimbabwe,2025-12-03T18:36:19.423715
Dunlop Distributors - Taita Tyres / Trading,,,,,https://thedirectory.co.zw/company.cfm?companyid=3055,"Dunlop, Windforce and Triangle Tyres.",https://thedirectory.co.zw/company.cfm?companyid=3055,Zimbabwe,2025-12-03T18:36:20.567494
Sanders Opticians,,,,,https://thedirectory.co.zw/company.cfm?companyid=6155,Opticians,https://thedirectory.co.zw/company.cfm?companyid=6155,Zimbabwe,2025-12-03T18:36:23.345454
Eye Studio,,,,,https://thedirectory.co.zw/company.cfm?companyid=9520,"Optometrist, Optician, Contact Lens Practitioner, School Vision Practioner and Dry Eye Therapy.",https://thedirectory.co.zw/company.cfm?companyid=9520,Zimbabwe,2025-12-03T18:36:25.227541
Optimark In The Village,,,,,https://thedirectory.co.zw/company.cfm?companyid=3943,"Opticians, Contact Lens practitioners and Sunglasses",https://thedirectory.co.zw/company.cfm?companyid=3943,Zimbabwe,2025-12-03T18:36:27.051726
Village Optometrists,,,,,https://thedirectory.co.zw/company.cfm?companyid=4257,Ophthalmic and Dispensing Opticians. Major Sunglass Brands. (Formerly Your Optician),https://thedirectory.co.zw/company.cfm?companyid=4257,Zimbabwe,2025-12-03T18:36:28.563153
Premier Service Medical Aid Society (PSMAS),,,,,https://thedirectory.co.zw/company.cfm?companyid=926,Medical Aid Society,https://thedirectory.co.zw/company.cfm?companyid=926,Zimbabwe,2025-12-03T18:36:29.810272
The Optical Centre,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=16783,Zimbabwe,2025-12-03T18:36:29.842040
Multiple Star Plastic Packaging,,,,,https://thedirectory.co.zw/company.cfm?companyid=11162,"Plain and Printed Plastic Packaging, Carrier Bags, Black Sheeting, Bin Liners, Clear Tubing and Shrink Wrap",https://thedirectory.co.zw/company.cfm?companyid=11162,Zimbabwe,2025-12-03T18:36:32.301458
Polypackaging Pvt Ltd.,,,,,https://thedirectory.co.zw/company.cfm?companyid=2897,"Manufacturing Of Polypropylene Woven Bags, Silt Cloth, Tubing, Potato And Orange Pockets And Plastic Bags",https://thedirectory.co.zw/company.cfm?companyid=2897,Zimbabwe,2025-12-03T18:36:33.697275
Almac Plastex,,,,,https://thedirectory.co.zw/company.cfm?companyid=1327,Plastics/Packaging and Stationery Suppliers (Formerly Almar Plastex),https://thedirectory.co.zw/company.cfm?companyid=1327,Zimbabwe,2025-12-03T18:36:34.862431
Circlepak (Pvt) Ltd,,,,,https://thedirectory.co.zw/company.cfm?companyid=8313,"Manufacturers and Suppliers of Composite Containers,Cores and Sharp Tins",https://thedirectory.co.zw/company.cfm?companyid=8313,Zimbabwe,2025-12-03T18:36:36.155180
Codchem Plastics,,,,,https://thedirectory.co.zw/company.cfm?companyid=13225,"Manufacturers Of Flexible Packaging: Plain & Printed Plastics, Carrier Bags, Black Sheeting, Bin Liners, Freezit Tubing, Shrink Wrap, Plain & Printed Autopack.",https://thedirectory.co.zw/company.cfm?companyid=13225,Zimbabwe,2025-12-03T18:36:37.588993
Polar Plastics,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=13726,Zimbabwe,2025-12-03T18:36:37.617118
Gibsand Enterprises Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=2819,Zimbabwe,2025-12-03T18:36:37.617731
CPL,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1953,Zimbabwe,2025-12-03T18:36:37.618322
NativeOps Printing and Packaging,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15745,Zimbabwe,2025-12-03T18:36:37.618930
