name,address,city,phone,email,website,description,source_url,country,crawl_timestamp
Caroline Garments P/L t/a Caroline Safety,"Address: 26 Bon Accord Rd, Westondale, Bulawayo, Zimbabwe",Bulawayo,,,,,https://www.zimbabweyp.com/company/88429/Caroline_Garments,Zimbabwe,2025-12-03T17:58:48.046562
Pest Portal Zimbabwe (Pvt) Ltd,"Address: Office 11, 3D Building Strathaven Building, Avondale Harare, Zimbabwe",Harare,,,,,https://www.zimbabweyp.com/company/104158/Pest_Portal_Zimbabwe,Zimbabwe,2025-12-03T17:58:48.051524
Busy Bee Transcribing,"Address: 13 Ascot Road, Avondale West, Harare , Zimbabwe",Harare,,,,,https://www.zimbabweyp.com/company/106087/Busy_Bee_Transcribing,Zimbabwe,2025-12-03T17:58:48.055752
Athol Evans Hospita Home,"Address: P O Box Cr 70 Cranb Cranborne, Harare, Zimbabwe",Harare,,,,,https://www.zimbabweyp.com/company/14492/Athol_Evans_Hospita_Home,Zimbabwe,2025-12-03T17:58:48.058017
MEGA MARKET,"Address: Target Area, Mutare, Zimbabwe",Mutare,,,,,https://www.zimbabweyp.com/company/4595/MEGA_MARKET,Zimbabwe,2025-12-03T17:58:48.061165
DOMAIN ALLUMINIUM,"Address: 36 HARARE STREET, Zimbabwe",Harare,,,,,https://www.zimbabweyp.com/company/106670/DOMAIN_ALLUMINIUM,Zimbabwe,2025-12-03T17:58:48.063955
Pishon Consulting (Pvt) Ltd,"Address: 3 Kingston Close, Highlands, Harare , Zimbabwe",Harare,,,,,https://www.zimbabweyp.com/company/105470/Pishon_Consulting_Pvt_Ltd,Zimbabwe,2025-12-03T17:58:48.066262
Data Analytics Training and Advisory Services,"Address: 6th Floor Batanai Gardens, 57 Jason Moyo Avenue, Harare, Zimbabwe",Harare,,,,,https://www.zimbabweyp.com/company/106446/Data_Analytics_Training_and_Advisory_Services,Zimbabwe,2025-12-03T17:58:48.068036
Deposit Protection Corporation,"Address: 29 Rayl Road, Borrowdale, Harare, Zimbabwe",Harare,,,,,https://www.zimbabweyp.com/company/408/Deposit_Protection_Board,Zimbabwe,2025-12-03T17:58:48.069710
Eaztrade Barter Exchange Zimbabwe,"Address: Shop 15A, Chiyedza Hse, Cnr 1st St /Kwamwe Krumah Ave, Harare, Zimbabwe",Harare,,,,,https://www.zimbabweyp.com/company/104860/Eaztrade_Barter_Exchange_Zimbabwe,Zimbabwe,2025-12-03T17:58:48.073690
Kayaz Furniture,"Address: 10242, 27th Road, High Glen Industrial Area, High Glen., Harare, Zimbabwe",Harare,,,,,https://www.zimbabweyp.com/company/104958/Kayaz_Furniturez,Zimbabwe,2025-12-03T17:58:48.078691
Halsted Brothers,"Address: (Pvt) Ltd Douglas/Lytton Rds Workington, Harare, Zimbabwe",Harare,,,,,https://www.zimbabweyp.com/company/9091/Halsted_Brothers,Zimbabwe,2025-12-03T17:58:48.082985
OTrack Zimbabwe,"Address: 2 Partmar House, Pennywise, Seikik Road, Eastlea, Harare, Zimbabwe",Harare,,,,,https://www.zimbabweyp.com/company/107022/OTrack_Zimbabwe,Zimbabwe,2025-12-03T17:58:48.085966
Light Eco Property Development Pty Ltd,"Address: 21504 PO Luveve, Bulawayo, Zimbabwe",Bulawayo,,,,,https://www.zimbabweyp.com/company/104433/Light_Eco_Property_Development_Pty_Ltd,Zimbabwe,2025-12-03T17:58:48.091428
Hammer and Tongues (Pvt) Ltd,"Address: Dhlela Way Graniteside, P.O.Box 504, Harare, Zimbabwe",Harare,,,,,https://www.zimbabweyp.com/company/427/Hammer_and_Tongues_Pvt_Ltd,Zimbabwe,2025-12-03T17:58:48.094126
