name,address,city,phone,source_url,name_clean,address_clean,name_blocks
Dynamic Hildah’s Beauty & Wellness Solutions,"Mobile Beauty & Wellness Solutions, Harare, Zimbabwe",Harare,+263 737478955 / 0771497816,https://www.zimplaza.co.zw/listing/dynamic-hildahs-beauty-wellness-solutions/,dynamic hildahs beauty wellness solutions,mobile beauty wellness solutions harare zimbabwe,"{'dynamic hildahs beauty', 'hildahs beauty wellness', 'beauty wellness solutions'}"
Brooke Credit Consultants,"35 Divine Road, Milton Park, Harare, Zimbabwe",Harare,"(04) 778263-4, +263772421038",https://www.zimplaza.co.zw/listing/brooke-credit-consultants/,brooke credit consultants,35 divine road milton park harare zimbabwe,{'brooke credit consultants'}
Leap Consulting Firm,"8 Neil Avenue, Msasa, Harare, Zimbabwe",Harare,0773492973,https://www.zimplaza.co.zw/listing/leap-consulting-firm/,leap consulting firm,8 neil avenue msasa harare zimbabwe,{'leap consulting firm'}
Edwards Real Estate,"37 Victoria Drive, Newlands, Harare, Zimbabwe",Harare,"0772241023, 0772709563",https://www.zimplaza.co.zw/listing/edwards-real-estate/,edwards real estate,37 victoria drive newlands harare zimbabwe,{'edwards real estate'}
Kore Kore Turf,"2077 Section 6, Kambuzuma, Harare, Zimbabwe",Harare,0772605556,https://www.zimplaza.co.zw/listing/kore-kore-turf/,kore kore turf,2077 section 6 kambuzuma harare zimbabwe,{'kore kore turf'}
Craft Solutions Zimbabwe,"7th Floor Karigamombe Centre, 53 Samora Machel Avenue, Harare, Zimbabwe",Harare,+263713809767,https://www.zimplaza.co.zw/listing/craft-solutions-zimbabwe/,craft solutions zimbabwe,7th floor karigamombe centre 53 samora machel avenue harare zimbabwe,{'craft solutions zimbabwe'}
Bumble Bee Boutique,"144 Chinhoyi Street, Harare, Zimbabwe",Harare,08644 150 350,https://www.zimplaza.co.zw/listing/bumble-bee-boutique/,bumble bee boutique,144 chinhoyi street harare zimbabwe,{'bumble bee boutique'}
SDM CHATSAMA LAW CHAMBERS,"Flat 4 Mimosa Court, 19 Baines Avenue, Harare, Zimbabwe",Harare,00263772276086,https://www.zimplaza.co.zw/listing/sdm-chatsama-law-chambers/,sdm chatsama law chambers,flat 4 mimosa court 19 baines avenue harare zimbabwe,"{'chatsama law chambers', 'sdm chatsama law'}"
Dreams Corporate Advisors,"30 Central Avenue, Harare, Zimbabwe",Harare,"04 702237, 0719118239",https://www.zimplaza.co.zw/listing/dreams-corporate-advisors/,dreams corporate advisors,30 central avenue harare zimbabwe,{'dreams corporate advisors'}
Harvest Honey Apiculture,"Mutare-Board-and-Paper-Mills-ltd St Helens Drive Mutare, Zimbabwe",Mutare,0777748549,https://www.zimplaza.co.zw/listing/harvest-honey-apiculture/,harvest honey apiculture,mutareboardandpapermillsltd st helens drive mutare zimbabwe,{'harvest honey apiculture'}
Lion King Printworks,"724 Aerodrome, Victoria Falls, Zimbabwe",Victoria Falls,+263779602487,https://www.zimplaza.co.zw/listing/lion-king-printworks/,lion king printworks,724 aerodrome victoria falls zimbabwe,{'lion king printworks'}
Texcolour (PVT) Ltd,"8 Neil Avenue, Msasa, Harare, Zimbabwe",Harare,+263 242 487368,https://www.zimplaza.co.zw/listing/texcolour-pvt-ltd/,texcolour pvt ltd,8 neil avenue msasa harare zimbabwe,{'texcolour pvt ltd'}
Onara Transport Logistics (Pvt) Ltd,"492 Goodwin Road, Willowvale, Harare, Zimbabwe",Harare,"0731 022 616, 0782 706 073",https://www.zimplaza.co.zw/listing/onara-transport-logistics-pvt-ltd/,onara transport logistics pvt ltd,492 goodwin road willowvale harare zimbabwe,"{'logistics pvt ltd', 'transport logistics pvt', 'onara transport logistics'}"
