name,address,city,phone,email,website,description,source_url,country,crawl_timestamp
Waverley Plastics Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=5832,Zimbabwe,2025-12-03T16:45:53.259589
Crane 4 Hire - Crane Hire,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=8287,Zimbabwe,2025-12-03T16:45:53.262600
Partrid Investments,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1474,Zimbabwe,2025-12-03T16:45:53.265650
CP Plastics,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=2343,Zimbabwe,2025-12-03T16:45:53.268617
RSC Steelforce,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1489,Zimbabwe,2025-12-03T16:45:53.270508
Sanders Opticians,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=6155,Zimbabwe,2025-12-03T16:45:53.271949
Woodtec (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=7862,Zimbabwe,2025-12-03T16:45:53.274980
Waverley Plastics Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=5832,Zimbabwe,2025-12-03T16:45:53.279296
Crane 4 Hire - Crane Hire,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=8287,Zimbabwe,2025-12-03T16:45:53.284538
Partrid Investments,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1474,Zimbabwe,2025-12-03T16:45:53.290090
CP Plastics,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=2343,Zimbabwe,2025-12-03T16:45:53.295496
RSC Steelforce,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1489,Zimbabwe,2025-12-03T16:45:53.300545
Sanders Opticians,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=6155,Zimbabwe,2025-12-03T16:45:53.303946
Woodtec (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=7862,Zimbabwe,2025-12-03T16:45:53.308259
Shelvit (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=7863,Zimbabwe,2025-12-03T16:45:56.406692
Product (Pvt) Ltd (Teeston Engineering),,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1550,Zimbabwe,2025-12-03T16:45:56.409324
Zimbabwe Academy of Dental Nursing (ZADENU) C/o Dr (Dr) Farayi Shakespeare Moyana (PhD),,,,,,,https://thedirectory.co.zw/company.cfm?companyid=13300,Zimbabwe,2025-12-03T16:45:56.411211
Seedling Express,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=14175,Zimbabwe,2025-12-03T16:45:56.412754
Woodtec (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=7862,Zimbabwe,2025-12-03T16:45:56.414283
Kefalos Cheese Products (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=438,Zimbabwe,2025-12-03T16:45:56.416312
Mega Rig Projects,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=3139,Zimbabwe,2025-12-03T16:45:56.419354
Shelvit (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=7863,Zimbabwe,2025-12-03T16:45:56.424607
Product (Pvt) Ltd (Teeston Engineering),,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1550,Zimbabwe,2025-12-03T16:45:56.428680
Zimbabwe Academy of Dental Nursing (ZADENU) C/o Dr (Dr) Farayi Shakespeare Moyana (PhD),,,,,,,https://thedirectory.co.zw/company.cfm?companyid=13300,Zimbabwe,2025-12-03T16:45:56.431690
Seedling Express,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=14175,Zimbabwe,2025-12-03T16:45:56.434484
Woodtec (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=7862,Zimbabwe,2025-12-03T16:45:56.437042
Kefalos Cheese Products (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=438,Zimbabwe,2025-12-03T16:45:56.440371
Mega Rig Projects,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=3139,Zimbabwe,2025-12-03T16:45:56.444697
Zimbabwe Excellent Plumbers Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=2308,Zimbabwe,2025-12-03T16:46:03.158619
Grand Auto Premier,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=7082,Zimbabwe,2025-12-03T16:46:03.171627
Baker Tilly,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1187,Zimbabwe,2025-12-03T16:46:03.179636
Honda Coventry Road,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=9011,Zimbabwe,2025-12-03T16:46:03.183308
Exochic,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=2928,Zimbabwe,2025-12-03T16:46:03.186109
Dr(Dr) Farayi Shakespeare Moyana (PhD),,,,,,,https://thedirectory.co.zw/company.cfm?companyid=6371,Zimbabwe,2025-12-03T16:46:03.191720
