number,title,url,domain,source,query,country,search_date
1,Zimbabwe Business Directory 2025 | AFRIKTA,https://afrikta.com/listing-locations/zimbabwe/,afrikta.com,web_search,yellow pages zimbabwe,Zimbabwe,2025-12-02
2,causes of employment syndrome in zimbabwe and its causes and …,https://brainly.in/question/2489004,brainly.in,web_search,zimbabwe business listings,Zimbabwe,2025-12-02
3,Why Zimbabwe not considered a democratic country ? explain in,https://brainly.in/question/3130822,brainly.in,web_search,zimbabwe business listings,Zimbabwe,2025-12-02
4,"explain how the disciplines of Linguistic, Anthropology ... - Brainly",https://brainly.in/question/56239706,brainly.in,web_search,zimbabwe business listings,Zimbabwe,2025-12-02
5,describe 4 common types of roofs in Zimbabwe used in building,https://brainly.in/question/61821509,brainly.in,web_search,zimbabwe business listings,Zimbabwe,2025-12-02
6,company is/are - WordReference Forums,https://forum.wordreference.com/threads/company-is-are.2961868/,forum.wordreference.com,web_search,company directories in zimbabwe,Zimbabwe,2025-12-02
7,company who or company which? - WordReference Forums,https://forum.wordreference.com/threads/company-who-or-company-which.995389/,forum.wordreference.com,web_search,company directories in zimbabwe,Zimbabwe,2025-12-02
8,In/at the company - WordReference Forums,https://forum.wordreference.com/threads/in-at-the-company.215026/,forum.wordreference.com,web_search,company directories in zimbabwe,Zimbabwe,2025-12-02
9,M/S followed by a Company Name? - WordReference Forums,https://forum.wordreference.com/threads/m-s-followed-by-a-company-name.1606232/,forum.wordreference.com,web_search,company directories in zimbabwe,Zimbabwe,2025-12-02
10,"""Who is *Company Name*"" or ""Who are ""Company Name""",https://forum.wordreference.com/threads/who-is-company-name-or-who-are-company-name.3469707/,forum.wordreference.com,web_search,company directories in zimbabwe,Zimbabwe,2025-12-02
11,Suid-Afrika vs Zimbabwe – ONAFHANKLIK,https://onafhanklik.com/2018/11/27/suid-afrika-vs-zimbabwe/,onafhanklik.com,web_search,zimbabwe business listings,Zimbabwe,2025-12-02
12,Zimbabwe (SA volg) – ONAFHANKLIK,https://onafhanklik.com/2018/12/01/zimbabwe-sa-volg/,onafhanklik.com,web_search,zimbabwe business listings,Zimbabwe,2025-12-02
13,Gukurahundi – Zimbabwe – ONAFHANKLIK,https://onafhanklik.com/2018/12/02/gukurahundi-zimbabwe/,onafhanklik.com,web_search,zimbabwe business listings,Zimbabwe,2025-12-02
14,Zimbabwe – ONAFHANKLIK,https://onafhanklik.com/2019/01/24/zimbabwe/,onafhanklik.com,web_search,zimbabwe business listings,Zimbabwe,2025-12-02
